id,domain,question,option1,option2,option3,option4,correctAnswerIndex,rationale
89,D5,Why is establishing formal ownership the first step in data classification?,To define the encryption standards used for the data.,To ensure the owner is accountable for the risk analysis and protection requirements.,To determine the regulatory compliance requirements.,To select the appropriate access control matrix.,1,The owner must be defined because they are the one accountable for the asset's security and are best placed to help determine its risk and protection needs.
90,D5,An IS auditor is reviewing the access control list (ACL) for a critical server. What is the most common reason for excessive access rights found in an ACL?,Insufficient network bandwidth.,Failure to remove access when an employee changes job roles (role creep).,Lack of multi-factor authentication.,Poor physical security over the server location.,1,"Failure to remove or adjust access when an employee changes roles, leading to the accumulation of unnecessary privileges, is known as 'role creep.'"
91,D5,Which statement best describes the purpose of an IT Security Baseline?,A set of policies governing employee use of the internet.,The minimum security requirements necessary to protect information assets.,The maximum acceptable risk tolerance set by the Board.,A detailed report of all known vulnerabilities in the environment.,1,"An IT Security Baseline is the documented set of minimum security requirements or standards that all systems, networks, and applications must meet."
91,D5,An IS auditor finds that a company's database administrator also has the authority to make changes to application code. This is a violation of:,Least Privilege.,Segregation of Duties (SoD).,Role-Based Access Control (RBAC).,Need-to-Know.,1,"This is a clear violation of Segregation of Duties (SoD), as the individual can manipulate the application logic and then control the data within the database."
92,D5,Which of the following is the most significant deficiency in a logical access control environment?,Unencrypted passwords exist in a plain text file.,Shared logon IDs are used for common administrative tasks.,User access rights are only reviewed semi-annually.,The password minimum length is eight characters.,0,Storing unencrypted passwords in a plain text file is a catastrophic failure of basic security and poses the most significant vulnerability to the entire system.
93,D5,"To maintain the integrity of production code, the IS auditor should look for evidence of which control?",All access to the production environment is logged and monitored.,The source code is written in a standard programming language.,The system is backed up weekly.,All changes to production programs require separation of duties (SoD).,3,"Separation of Duties (SoD) for changes to production programs prevents a single person from developing and deploying the code, which is key to maintaining integrity."
94,D5,What is the PRIMARY benefit of implementing a well-defined information classification scheme?,It simplifies data encryption across the entire enterprise.,It helps ensure that security controls are applied commensurate with the data's value.,It reduces the overall cost of data storage.,It guarantees regulatory compliance in all jurisdictions.,1,Classification allows the organization to apply security controls commensurate with the data's value (high value/risk data gets strong controls; low value/risk data gets weaker controls).
95,D5,"An IS auditor finds that the IT department manages security for all systems, but they do not use a formal, documented security policy. This represents a weakness in:",Security technology implementation.,Policy and procedural governance.,Network segmentation.,Business continuity planning.,1,"The lack of a formal, documented security policy indicates a fundamental weakness in the policy and procedural governance framework, regardless of the technology used."
96,D5,An IS auditor finds that an application uses a simple bridge device to connect two separate network segments. The PRIMARY security risk is that:,The bridge will read the MAC address and prevent data flow.,"The segments, now functioning as a single network, may expose sensitive data.",The bridge will direct all traffic to the wrong destination.,The bridge will slow down the network's overall throughput.,1,"A bridge simply connects segments, allowing them to function as a single logical network. If one segment contains sensitive data, this can inadvertently expose it to the less secure segment."
97,D5,A new application includes a feature that automatically revokes all user access after 90 days of inactivity. This control is designed to address the risk of:,Insider trading.,Role creep.,Unnecessary privilege retention.,Violation of physical security controls.,2,Automatically revoking access for inactive accounts addresses the risk of unnecessary privilege retention for users who no longer require system access.
98,D5,"When an organization is implementing a new logical access control system, what must be properly documented in a management-approved security policy?",The detailed network architecture.,"The specific technical implementation (e.g., encryption algorithms).",The access control model and authorization philosophy.,The annual budget for security hardware purchases.,2,"The access control model and authorization philosophy (e.g., least privilege, need-to-know) must be clearly documented in the policy as the governing standard."
99,D5,"During the maintenance phase of the SDLC, which activity should be SUBJECT to the strongest change control procedures?",Updating user training manuals.,Applying minor patches to the production database.,Adding non-critical features requested by users.,Correcting production program errors (emergency fixes).,3,"Emergency production program errors (fixes), while necessary, are often done under pressure and are the most likely to bypass normal procedures, so they require the strongest, most stringent change control procedures."
100,D5,The security administrator fails to disable a former employee's domain account immediately after termination. This represents a failure of which type of control?,Preventative.,Detective.,Corrective.,Compensating.,0,Preventative controls are designed to prevent an error or unauthorized act from occurring. Immediate deactivation upon termination is a preventative control to stop unauthorized access.
